# ASCII 1D datafile generated by TiberCAD
# x LatticeTemp ThermalFlux_x ThermalFlux_y ThermalFlux_z HeatSource ThermCond_x ThermCond_y ThermCond_z 
-48.0078 306.128 -65.5597 0 0 4004.27 1.5 1.5 1.5 
-47.4919 306.13 -65.3508 0 0 4094.42 1.5 1.5 1.5 
-46.9811 306.132 -65.1393 0 0 4185.97 1.5 1.5 1.5 
-46.4753 306.135 -64.9253 0 0 4278.92 1.5 1.5 1.5 
-45.9746 306.137 -64.7086 0 0 4373.27 1.5 1.5 1.5 
-45.4788 306.139 -64.4895 0 0 4469.02 1.5 1.5 1.5 
-44.988 306.141 -64.2677 0 0 4566.16 1.5 1.5 1.5 
-44.502 306.143 -64.0435 0 0 4664.7 1.5 1.5 1.5 
-44.0209 306.145 -63.8166 0 0 4764.62 1.5 1.5 1.5 
-43.5445 306.147 -63.5872 0 0 4865.92 1.5 1.5 1.5 
-43.0728 306.149 -63.3553 0 0 4968.6 1.5 1.5 1.5 
-42.6058 306.151 -63.1209 0 0 5072.66 1.5 1.5 1.5 
-42.1435 306.153 -62.8839 0 0 5178.09 1.5 1.5 1.5 
-41.6857 306.155 -62.6445 0 0 5284.88 1.5 1.5 1.5 
-41.2325 306.157 -62.4025 0 0 5393.02 1.5 1.5 1.5 
-40.7838 306.159 -62.1581 0 0 5502.52 1.5 1.5 1.5 
-40.3395 306.161 -61.9111 0 0 5613.36 1.5 1.5 1.5 
-39.8996 306.162 -61.6618 0 0 5725.53 1.5 1.5 1.5 
-39.4641 306.164 -61.41 0 0 5839.03 1.5 1.5 1.5 
-39.0329 306.166 -61.1557 0 0 5953.85 1.5 1.5 1.5 
-38.606 306.168 -60.8991 0 0 6069.98 1.5 1.5 1.5 
-38.1833 306.169 -60.64 0 0 6187.41 1.5 1.5 1.5 
-37.7648 306.171 -60.3786 0 0 6306.13 1.5 1.5 1.5 
-37.3505 306.173 -60.1149 0 0 6426.13 1.5 1.5 1.5 
-36.9402 306.174 -59.8488 0 0 6547.4 1.5 1.5 1.5 
-36.5341 306.176 -59.5804 0 0 6669.94 1.5 1.5 1.5 
-36.1319 306.178 -59.3097 0 0 6793.72 1.5 1.5 1.5 
-35.7338 306.179 -59.0367 0 0 6918.74 1.5 1.5 1.5 
-35.3396 306.181 -58.7615 0 0 7044.98 1.5 1.5 1.5 
-34.9493 306.182 -58.4841 0 0 7172.43 1.5 1.5 1.5 
-34.5629 306.184 -58.2044 0 0 7301.09 1.5 1.5 1.5 
-34.1803 306.185 -57.9226 0 0 7430.93 1.5 1.5 1.5 
-33.8015 306.187 -57.6387 0 0 7561.95 1.5 1.5 1.5 
-33.4264 306.188 -57.3526 0 0 7694.12 1.5 1.5 1.5 
-33.0551 306.19 -57.0645 0 0 7827.45 1.5 1.5 1.5 
-32.6875 306.191 -56.7742 0 0 7961.9 1.5 1.5 1.5 
-32.3235 306.192 -56.482 0 0 8097.48 1.5 1.5 1.5 
-31.9631 306.194 -56.1877 0 0 8234.15 1.5 1.5 1.5 
-31.6063 306.195 -55.8915 0 0 8371.92 1.5 1.5 1.5 
-31.253 306.196 -55.5933 0 0 8510.76 1.5 1.5 1.5 
-30.9033 306.198 -55.2932 0 0 8650.65 1.5 1.5 1.5 
-30.557 306.199 -54.9912 0 0 8791.59 1.5 1.5 1.5 
-30.2141 306.2 -54.6873 0 0 8933.55 1.5 1.5 1.5 
-29.8747 306.201 -54.3816 0 0 9076.52 1.5 1.5 1.5 
-29.5386 306.203 -54.0742 0 0 9220.49 1.5 1.5 1.5 
-29.2058 306.204 -53.765 0 0 9365.43 1.5 1.5 1.5 
-28.8763 306.205 -53.454 0 0 9511.33 1.5 1.5 1.5 
-28.5501 306.206 -53.1414 0 0 9658.17 1.5 1.5 1.5 
-28.2272 306.207 -52.8271 0 0 9805.94 1.5 1.5 1.5 
-27.9074 306.208 -52.5112 0 0 9954.62 1.5 1.5 1.5 
-27.5908 306.21 -52.1937 0 0 10104.2 1.5 1.5 1.5 
-27.2774 306.211 -51.8746 0 0 10254.6 1.5 1.5 1.5 
-26.9671 306.212 -51.554 0 0 10405.9 1.5 1.5 1.5 
-26.6598 306.213 -51.232 0 0 10558 1.5 1.5 1.5 
-26.3556 306.214 -50.9085 0 0 10711 1.5 1.5 1.5 
-26.0544 306.215 -50.5836 0 0 10864.7 1.5 1.5 1.5 
-25.7562 306.216 -50.2573 0 0 11019.3 1.5 1.5 1.5 
-25.4609 306.217 -49.9296 0 0 11174.6 1.5 1.5 1.5 
-25.1686 306.218 -49.6007 0 0 11330.6 1.5 1.5 1.5 
-24.8792 306.219 -49.2705 0 0 11487.4 1.5 1.5 1.5 
-24.5926 306.22 -48.9391 0 0 11644.9 1.5 1.5 1.5 
-24.3089 306.221 -48.6065 0 0 11803 1.5 1.5 1.5 
-24.028 306.221 -48.2727 0 0 11961.9 1.5 1.5 1.5 
-23.7499 306.222 -47.9378 0 0 12121.3 1.5 1.5 1.5 
-23.4745 306.223 -47.6019 0 0 12281.5 1.5 1.5 1.5 
-23.2019 306.224 -47.2649 0 0 12442.2 1.5 1.5 1.5 
-22.932 306.225 -46.9269 0 0 12603.5 1.5 1.5 1.5 
-22.6647 306.226 -46.5879 0 0 12765.4 1.5 1.5 1.5 
-22.4001 306.227 -46.248 0 0 12927.9 1.5 1.5 1.5 
-22.1382 306.227 -45.9072 0 0 13090.9 1.5 1.5 1.5 
