# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Strain_11
# 3 Strain_22
# 4 Strain_33
# 5 Strain_12
# 6 Strain_23
# 7 Strain_13
# 8 Stress_11
# 9 Stress_22
# 10 Stress_33
# 11 Stress_12
# 12 Stress_23
# 13 Stress_13
# 14 Displacement_x
# 15 Displacement_y
# 16 Displacement_z
# x Strain_11 Strain_22 Strain_33 Strain_12 Strain_23 Strain_13 Stress_11 Stress_22 Stress_33 Stress_12 Stress_23 Stress_13 Displacement_x Displacement_y Displacement_z 
2.57576 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.49023e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.16893e-10 0 0 
2.67677 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.93987e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.18451e-10 0 0 
2.77778 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -3.83915e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.2001e-10 0 0 
2.87879 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -3.83915e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.21568e-10 0 0 
2.9798 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -3.38951e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.23127e-10 0 0 
3.08081 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.93987e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.24686e-10 0 0 
3.18182 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -3.38951e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.26244e-10 0 0 
3.28283 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -5.18807e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.27803e-10 0 0 
3.38384 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -4.73843e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.29361e-10 0 0 
3.48485 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -3.38951e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.3092e-10 0 0 
3.58586 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -3.38951e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.32478e-10 0 0 
3.68687 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -3.38951e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.34037e-10 0 0 
3.78788 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -3.38951e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.35596e-10 0 0 
3.88889 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -4.28879e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.37154e-10 0 0 
3.9899 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -5.63771e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.38713e-10 0 0 
4.09091 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -6.08735e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.40271e-10 0 0 
4.19192 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -5.18807e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.4183e-10 0 0 
4.29293 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -3.83915e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.43388e-10 0 0 
