# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential Eg eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z CurrentDensity_x CurrentDensity_y CurrentDensity_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors NetRecombination SRHRecombination AugerRecombination OpticalGeneration 
-0.179345 0.042511 -1.0763 1.6824e-07 -0.588571 2.18097 1.11881 4.96051e+18 3.36971e+11 108.05 72.9595 0.00203537 0 0 0.174677 0 0 0.170491 0 0 0.00418649 0 0 4.96051e+18 0 -8.87547e+20 1.12436e+20 1.68547e+16 -1e+21 
-0.174126 0.042511 -1.0763 1.69276e-07 -0.588005 2.18097 1.11881 4.96051e+18 3.29677e+11 108.05 72.9493 0.0020354 0 0 0.174677 0 0 0.170417 0 0 0.0042608 0 0 4.96051e+18 0 -8.89981e+20 1.10002e+20 1.64899e+16 -1e+21 
-0.169001 0.042511 -1.0763 1.70293e-07 -0.587427 2.18097 1.11881 4.96051e+18 3.22388e+11 108.05 72.9388 0.00203542 0 0 0.174677 0 0 0.170343 0 0 0.00433398 0 0 4.96051e+18 0 -8.92414e+20 1.0757e+20 1.61253e+16 -1e+21 
-0.163968 0.042511 -1.0763 1.71291e-07 -0.586837 2.18097 1.11881 4.96051e+18 3.15108e+11 108.05 72.9277 0.00203545 0 0 0.174677 0 0 0.170271 0 0 0.00440604 0 0 4.96051e+18 0 -8.94843e+20 1.05141e+20 1.57612e+16 -1e+21 
-0.159026 0.042511 -1.0763 1.7227e-07 -0.586234 2.18097 1.11881 4.96051e+18 3.07841e+11 108.05 72.916 0.00203548 0 0 0.174677 0 0 0.1702 0 0 0.00447699 0 0 4.96051e+18 0 -8.97268e+20 1.02716e+20 1.53977e+16 -1e+21 
-0.154172 0.042511 -1.0763 1.73232e-07 -0.585617 2.18097 1.11881 4.96051e+18 3.00589e+11 108.05 72.9038 0.00203551 0 0 0.174677 0 0 0.17013 0 0 0.00454686 0 0 4.96051e+18 0 -8.99688e+20 1.00297e+20 1.5035e+16 -1e+21 
-0.149406 0.042511 -1.0763 1.74176e-07 -0.584988 2.18097 1.11881 4.96051e+18 2.93358e+11 108.05 72.891 0.00203555 0 0 0.174677 0 0 0.170062 0 0 0.00461566 0 0 4.96051e+18 0 -9.02102e+20 9.78837e+19 1.46733e+16 -1e+21 
-0.144725 0.0425111 -1.0763 1.75103e-07 -0.584345 2.18097 1.11881 4.96051e+18 2.86149e+11 108.05 72.8775 0.00203558 0 0 0.174677 0 0 0.169994 0 0 0.0046834 0 0 4.96051e+18 0 -9.04507e+20 9.54784e+19 1.43127e+16 -1e+21 
-0.140129 0.0425111 -1.0763 1.76013e-07 -0.583687 2.18097 1.11881 4.96051e+18 2.78966e+11 108.05 72.8633 0.00203561 0 0 0.174677 0 0 0.169927 0 0 0.0047501 0 0 4.96051e+18 0 -9.06904e+20 9.30817e+19 1.39534e+16 -1e+21 
-0.135614 0.0425111 -1.0763 1.76906e-07 -0.583016 2.18097 1.11881 4.96051e+18 2.71812e+11 108.05 72.8484 0.00203564 0 0 0.174677 0 0 0.169862 0 0 0.00481578 0 0 4.96051e+18 0 -9.09292e+20 9.06946e+19 1.35956e+16 -1e+21 
-0.131182 0.0425111 -1.0763 1.77783e-07 -0.582329 2.18097 1.11881 4.96051e+18 2.64689e+11 108.05 72.8327 0.00203567 0 0 0.174677 0 0 0.169797 0 0 0.00488045 0 0 4.96051e+18 0 -9.11669e+20 8.83179e+19 1.32393e+16 -1e+21 
-0.126828 0.0425111 -1.0763 1.78643e-07 -0.581627 2.18097 1.11881 4.96051e+18 2.576e+11 108.05 72.8161 0.00203571 0 0 0.174677 0 0 0.169733 0 0 0.00494412 0 0 4.96051e+18 0 -9.14035e+20 8.59525e+19 1.28847e+16 -1e+21 
-0.122553 0.0425111 -1.0763 1.79488e-07 -0.58091 2.18097 1.11881 4.96051e+18 2.50547e+11 108.05 72.7985 0.00203574 0 0 0.174677 0 0 0.169671 0 0 0.0050068 0 0 4.96051e+18 0 -9.16388e+20 8.35992e+19 1.25319e+16 -1e+21 
