# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z CurrentDensity_x CurrentDensity_y CurrentDensity_z 
-4.77387 -0.012558 -1.43504 0 0 4.79795e+17 1.27032e-05 8066.54 350.526 29562.1 0 0 0 0 0 0 0 0 
-4.67337 -0.0122642 -1.43475 0 0 4.79134e+17 1.28484e-05 8066.54 350.526 28887.9 0 0 0 0 0 0 0 0 
-4.57286 -0.0119773 -1.43446 0 0 4.78292e+17 1.29918e-05 8066.54 350.526 28214.7 0 0 0 0 0 0 0 0 
-4.47236 -0.0116971 -1.43418 0 0 4.77282e+17 1.31333e-05 8066.54 350.526 27542.9 0 0 0 0 0 0 0 0 
-4.37186 -0.0114237 -1.43391 0 0 4.76118e+17 1.3273e-05 8066.54 350.526 26872.5 0 0 0 0 0 0 0 0 
-4.27136 -0.011157 -1.43364 0 0 4.74815e+17 1.34106e-05 8066.54 350.526 26204 0 0 0 0 0 0 0 0 
-4.17085 -0.010897 -1.43338 0 0 4.73385e+17 1.35462e-05 8066.54 350.526 25537.3 0 0 0 0 0 0 0 0 
-4.07035 -0.0106436 -1.43313 0 0 4.71842e+17 1.36796e-05 8066.54 350.526 24872.7 0 0 0 0 0 0 0 0 
-3.96985 -0.010397 -1.43288 0 0 4.70198e+17 1.38107e-05 8066.54 350.526 24210.4 0 0 0 0 0 0 0 0 
-3.86935 -0.010157 -1.43264 0 0 4.68466e+17 1.39395e-05 8066.54 350.526 23550.4 0 0 0 0 0 0 0 0 
-3.76884 -0.00992363 -1.43241 0 0 4.66657e+17 1.40659e-05 8066.54 350.526 22893 0 0 0 0 0 0 0 0 
-3.66834 -0.00969685 -1.43218 0 0 4.64783e+17 1.41899e-05 8066.54 350.526 22238.1 0 0 0 0 0 0 0 0 
-3.56784 -0.00947663 -1.43196 0 0 4.62855e+17 1.43113e-05 8066.54 350.526 21585.9 0 0 0 0 0 0 0 0 
-3.46734 -0.00926296 -1.43175 0 0 4.60883e+17 1.443e-05 8066.54 350.526 20936.4 0 0 0 0 0 0 0 0 
-3.36683 -0.0090558 -1.43154 0 0 4.58877e+17 1.45461e-05 8066.54 350.526 20289.8 0 0 0 0 0 0 0 0 
-3.26633 -0.00885513 -1.43134 0 0 4.56847e+17 1.46595e-05 8066.54 350.526 19646 0 0 0 0 0 0 0 0 
-3.16583 -0.00866091 -1.43114 0 0 4.54802e+17 1.477e-05 8066.54 350.526 19005 0 0 0 0 0 0 0 0 
-3.06533 -0.00847312 -1.43096 0 0 4.5275e+17 1.48777e-05 8066.54 350.526 18366.9 0 0 0 0 0 0 0 0 
-2.96482 -0.00829172 -1.43077 0 0 4.507e+17 1.49825e-05 8066.54 350.526 17731.8 0 0 0 0 0 0 0 0 
-2.86432 -0.0081167 -1.4306 0 0 4.4866e+17 1.50842e-05 8066.54 350.526 17099.5 0 0 0 0 0 0 0 0 
-2.76382 -0.00794802 -1.43043 0 0 4.46636e+17 1.5183e-05 8066.54 350.526 16470 0 0 0 0 0 0 0 0 
-2.66332 -0.00778564 -1.43027 0 0 4.44636e+17 1.52787e-05 8066.54 350.526 15843.4 0 0 0 0 0 0 0 0 
-2.56281 -0.00762955 -1.43011 0 0 4.42665e+17 1.53712e-05 8066.54 350.526 15219.6 0 0 0 0 0 0 0 0 
-2.46231 -0.00747972 -1.42996 0 0 4.40731e+17 1.54605e-05 8066.54 350.526 14598.5 0 0 0 0 0 0 0 0 
