# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Strain_11
# 3 Strain_22
# 4 Strain_33
# 5 Strain_12
# 6 Strain_23
# 7 Strain_13
# x Strain_11 Strain_22 Strain_33 Strain_12 Strain_23 Strain_13 
601.2 0.0272212 -0.0278611 -0.0278611 0 0 0 
601.4 0.0272212 -0.0278611 -0.0278611 0 0 0 
601.6 0.0272212 -0.0278611 -0.0278611 0 0 0 
601.8 0.0272212 -0.0278611 -0.0278611 0 0 0 
602 0.0272212 -0.0278611 -0.0278611 0 0 0 
602.2 0.0272212 -0.0278611 -0.0278611 0 0 0 
602.4 0.0272212 -0.0278611 -0.0278611 0 0 0 
602.6 0.0272212 -0.0278611 -0.0278611 0 0 0 
602.8 0.0272212 -0.0278611 -0.0278611 0 0 0 
603 0.0272212 -0.0278611 -0.0278611 0 0 0 
603.2 0.0272212 -0.0278611 -0.0278611 0 0 0 
603.4 0.0272212 -0.0278611 -0.0278611 0 0 0 
603.6 0.0272212 -0.0278611 -0.0278611 0 0 0 
603.8 0.0272212 -0.0278611 -0.0278611 0 0 0 
604 0.0272212 -0.0278611 -0.0278611 0 0 0 
604.2 0.0272212 -0.0278611 -0.0278611 0 0 0 
604.4 0.0272212 -0.0278611 -0.0278611 0 0 0 
604.6 0.0272212 -0.0278611 -0.0278611 0 0 0 
604.8 0.0272212 -0.0278611 -0.0278611 0 0 0 
605 0.0272212 -0.0278611 -0.0278611 0 0 0 
605.2 0.0272212 -0.0278611 -0.0278611 0 0 0 
605.4 0.0272212 -0.0278611 -0.0278611 0 0 0 
605.6 0.0272212 -0.0278611 -0.0278611 0 0 0 
605.8 0.0272212 -0.0278611 -0.0278611 0 0 0 
606 0.0272212 -0.0278611 -0.0278611 0 0 0 
606.2 0.0272212 -0.0278611 -0.0278611 0 0 0 
606.4 0.0272212 -0.0278611 -0.0278611 0 0 0 
